998,No,"৪০। স্টেশনে অনুপম কী ফেলে গেল?: ক্যামেরা... | ৯। অনুপমের আসল অভিভাবক কে?: মামা... | ১। অনুপমের বাবা: ওকালতি  করে জীবিকা নির্বাহ করতেন... | ৫. অনুপমের বয়স কত বছর?: সাতাশ... | ""অনুপমের বাবা: ওকালতি করতেন""..."
স্টেশনে অনুপম কী ফেলে গেল?,স্টেশনে অনুপম ক্যামেরা ফেলে গেল।,0.998,Yes,"৪০। স্টেশনে অনুপম কী ফেলে গেল?: ক্যামেরা... | ৯। অনুপমের আসল অভিভাবক কে?: মামা... | ১। অনুপমের বাবা: ওকালতি  করে জীবিকা নির্বাহ করতেন... | ৫. অনুপমের বয়স কত বছর?: সাতাশ... | ""অনুপমের বাবা: ওকালতি করতেন""..."
স্টেশনে অনুপম কী ফেলে গেল?,অনুপম স্টেশনে তার ক্যামেরা ফেলে গেছে।,0.998,Yes,"৪০। স্টেশনে অনুপম কী ফেলে গেল?: ক্যামেরা... | ৯। অনুপমের আসল অভিভাবক কে?: মামা... | ১। অনুপমের বাবা: ওকালতি  করে জীবিকা নির্বাহ করতেন... | ৫. অনুপমের বয়স কত বছর?: সাতাশ... | ""অনুপমের বাবা: ওকালতি করতেন""..."
স্টেশনে অনুপম কী ফেলে গেল?,স্টেশনে অনুপম ক্যামেরা ফেলে গেল।,0.998,Yes,"৪০। স্টেশনে অনুপম কী ফেলে গেল?: ক্যামেরা... | ৯। অনুপমের আসল অভিভাবক কে?: মামা... | ১। অনুপমের বাবা: ওকালতি  করে জীবিকা নির্বাহ করতেন... | ৫. অনুপমের বয়স কত বছর?: সাতাশ... | ""অনুপমের বাবা: ওকালতি করতেন""..."
স্টেশনে অনুপম কী ফেলে গেল?,স্টেশনে অনুপম তার ক্যামেরা ফেলে গেল।,0.998,Yes,"৪০। স্টেশনে অনুপম কী ফেলে গেল?: ক্যামেরা... | ৯। অনুপমের আসল অভিভাবক কে?: মামা... | ১। অনুপমের বাবা: ওকালতি  করে জীবিকা নির্বাহ করতেন... | ৫. অনুপমের বয়স কত বছর?: সাতাশ... | ""অনুপমের বাবা: ওকালতি করতেন""..."
স্টেশনে অনুপম কী ফেলে গেল?,স্টেশনে অনুপম ক্যামেরা ফেলে গেল।,0.998,Yes,"৪০। স্টেশনে অনুপম কী ফেলে গেল?: ক্যামেরা... | ৯। অনুপমের আসল অভিভাবক কে?: মামা... | ১। অনুপমের বাবা: ওকালতি  করে জীবিকা নির্বাহ করতেন... | ৫. অনুপমের বয়স কত বছর?: সাতাশ... | ""অনুপমের বাবা: ওকালতি করতেন""..."
অপরিচিতা মেয়েটির সঙ্গে কতজন মেয়ে ছিল?,অপরিচিতা মেয়েটির সঙ্গে ২/৩ জন মেয়ে ছিল।,0.998,Yes,৪২। অপরিচিতা মেয়েটির সঙ্গে কতজন মেয়ে ছিল?: ২/৩ জন... | ১। অনুপমের বাবা: ওকালতি  করে জীবিকা নির্বাহ করতেন... | ১৪। মামা কেমন ঘরের মেয়ে পছন্দ করতেন?: গরিব... | ১। অনুপমের বাবা কী করে জীবিকা নির্বাহ করতেন?উত্তর: ওকালতি... | শিকার হয়: মন্তব্যটির যাথার্থতা নিরূপণ কর।...
শম্ভুনাথ পেশায় কী ছিলেন?,শম্ভুনাথ পেশায় একজন ডাক্তার ছিলেন।,0.998,Yes,৪৪। শম্ভুনাথ পেশায় কী ছিলেন?: ডাক্তার... | ৭০। সুপুরুষ বটে: কে? - শম্ভুনাথ... | সওগাঁদ: উপঢৌকন। ভেট।...
শম্ভুনাথ পেশায় কী ছিলেন?,শম্ভুনাথ পেশায় একজন ডাক্তার ছিলেন।,0.998,Yes,৪৪। শম্ভুনাথ পেশায় কী ছিলেন?: ডাক্তার... | ৭০। সুপুরুষ বটে: কে? - শম্ভুনাথ... | সওগাঁদ: উপঢৌকন। ভেট।...
'মাকাল ফল' বাগধারাটি দিয়ে বোঝায়?,মাকাল ফল বাগধারাটি দিয়ে বোঝায় বিশেষ অর্থে গুণহীন।,0.999,Yes,৪। 'অপরিচিতা' গল্পে গল্প বলায় পটু কে?: অপমান... | ১১। কন্যার পিতামাত্রই কোনটি স্বীকার করবেন?: অনুপম সৎপাত্র... | ২৫। 'মাকাল ফল' বাগধারাটি দিয়ে বোঝায়? উত্তর: বিশেষ অর্থে গুণহীন...
কল্যাণীর পিতার নাম কি?,কল্যাণীর পিতার নাম শম্ভুনাথ সেন |,0.998,Yes,২৩। কল্যাণীর পিতার নাম কি? উত্তর: শম্ভুনাথ সেন... | সংসারের সমস্ত দায়: দায়িত্ব পালনে তার ভূমিকা এখানে... | ৪৭। গজাননের মায়ের নাম কী?: অন্নপূর্ণা...
